area_type,availability,location,size,society,bath,balcony,price,total_squaremeter
Super built-up Area,16-Mar,Ataşehir,5+1,Bosphorus View,3,2,11755596,123.56099
Super built-up Area,03-Jul,Bahçelievler,4+1,Panorama Evleri,3,0,6858468,83.6127
Super built-up Area,24-May,Maltepe,5+1,Yakamoz Sitesi,2,0,11143361,143.99965
Super built-up Area,01-Jun,Bahçelievler,3+1,Denizpark Konakları,4,2,5020257,79.89658
Super built-up Area,24-Nov,Beşiktaş,5+1,Bosphorus View,4,1,9221285,96.61912000000001
Built-up Area,02-Dec,Bahçelievler,2+1,Mavi Apartman,2,0,7084727,79.89658
Super built-up Area,27-Mar,Ataşehir,3+1,Yakamoz Sitesi,2,1,9394300,114.27069
Built-up Area,30-Sep,Beşiktaş,1+1,Bosphorus View,1,2,18431659,170.94152
Super built-up Area,29-May,Maltepe,1+1,Yakamoz Sitesi,1,1,5154775,73.39337
Built-up Area,22-Dec,Bahçelievler,4+1,Panorama Evleri,3,1,9678301,165.36734
Built-up Area,20-Apr,Bahçelievler,3+1,Kule Evleri,4,2,14010100,222.03817
Plot Area,25-Nov,Ataşehir,2+1,Park Bahçesi,1,0,16550674,232.2575
Built-up Area,13-Feb,Bahçelievler,5+1,Mavi Apartman,2,2,6981501,75.25143
Super built-up Area,05-Aug,Ataşehir,4+1,Mavi Apartman,4,1,10113711,103.12233
Super built-up Area,19-Nov,Şişli,1+1,Kule Evleri,1,1,20583105,209.96078
Built-up Area,25-May,Bahçelievler,4+1,Kule Evleri,4,0,10951205,171.87055
Plot Area,20-Aug,Beşiktaş,1+1,Park Bahçesi,1,2,19162835,226.68332
Built-up Area,20-Aug,Beşiktaş,1+1,Bosphorus View,1,0,14496766,230.39944
Plot Area,14-Jun,Ataşehir,5+1,Yakamoz Sitesi,4,1,11144092,154.21898000000002
Super built-up Area,30-Nov,Şişli,5+1,Bosphorus View,3,0,17530998,196.02533
Super built-up Area,10-Mar,Maltepe,4+1,Park Bahçesi,3,0,17395497,223.89623
Built-up Area,02-Jun,Bahçelievler,4+1,Park Bahçesi,2,2,10629805,153.28995
Built-up Area,10-Sep,Maltepe,1+1,Yakamoz Sitesi,2,2,5279345,97.54815
Built-up Area,14-Sep,Şişli,3+1,Panorama Evleri,4,0,7125410,69.67725
Plot Area,30-Jun,Bahçelievler,5+1,Kule Evleri,4,0,7351054,117.98681
Plot Area,20-May,Beşiktaş,5+1,Park Bahçesi,3,1,14599246,139.3545
Built-up Area,10-May,Bahçelievler,5+1,Mavi Apartman,4,2,14363394,217.39302
Built-up Area,01-Oct,Maltepe,3+1,Denizpark Konakları,1,2,4504680,66.89016000000001
Plot Area,17-Sep,Maltepe,1+1,Kule Evleri,2,0,15097576,230.39944
Plot Area,22-Jan,Şişli,1+1,Park Bahçesi,1,1,17999561,230.39944
Built-up Area,29-Oct,Kadıköy,4+1,Yakamoz Sitesi,2,2,18118344,229.47041000000002
Built-up Area,08-Feb,Şişli,1+1,Mavi Apartman,2,0,22120233,224.82526000000001
Plot Area,21-Aug,Ataşehir,2+1,Yakamoz Sitesi,2,1,7996772,98.47718
Built-up Area,21-Apr,Maltepe,1+1,Denizpark Konakları,2,0,4630173,67.81919
Built-up Area,25-Jan,Ataşehir,2+1,Mavi Apartman,3,1,10269040,147.71577
Plot Area,06-Sep,Ataşehir,2+1,Park Bahçesi,1,2,8006051,92.903
Built-up Area,06-Aug,Ataşehir,1+1,Park Bahçesi,1,0,4936189,56.67083
Built-up Area,07-Jul,Bahçelievler,5+1,Park Bahçesi,3,1,14620224,229.47041000000002
Built-up Area,16-Jun,Şişli,3+1,Bosphorus View,1,1,20165659,206.24466
Built-up Area,31-Jan,Bahçelievler,1+1,Bosphorus View,2,0,9527710,145.85771
Built-up Area,19-Dec,Şişli,4+1,Mavi Apartman,4,1,10918210,104.98039
Plot Area,22-Feb,Maltepe,5+1,Kule Evleri,1,0,8901673,115.19972
Built-up Area,03-Sep,Şişli,3+1,Park Bahçesi,2,0,16659186,189.52212
Built-up Area,31-Dec,Şişli,3+1,Panorama Evleri,4,0,12916120,165.36734
Built-up Area,25-Jun,Beşiktaş,1+1,Bosphorus View,1,0,17542209,166.29637
Built-up Area,13-Aug,Bahçelievler,2+1,Park Bahçesi,3,2,6050825,143.99965
Plot Area,01-Jul,Fatih,3+1,Mavi Apartman,2,0,13803893,193.23824000000002
Super built-up Area,21-Sep,Şişli,5+1,Mavi Apartman,3,0,8789361,178.37376
Built-up Area,01-Oct,Şişli,3+1,Mavi Apartman,3,2,10036470,132.85129
Super built-up Area,12-Oct,Şişli,2+1,Mavi Apartman,1,2,10289595,143.07062
Plot Area,29-Nov,Beşiktaş,3+1,Kule Evleri,4,1,15394896,195.0963
Super built-up Area,29-Mar,Fatih,2+1,Denizpark Konakları,2,0,11291576,135.63838
Super built-up Area,11-Mar,Beşiktaş,2+1,Kule Evleri,3,2,10830483,148.6448
Built-up Area,09-Nov,Maltepe,5+1,Yakamoz Sitesi,3,0,9653336,163.50928
Super built-up Area,26-Sep,Maltepe,3+1,Park Bahçesi,2,1,15219733,225.75429
Super built-up Area,30-Nov,Fatih,2+1,Park Bahçesi,3,1,6341191,64.10307
Plot Area,30-Aug,Ataşehir,5+1,Park Bahçesi,4,1,11680054,178.37376
Super built-up Area,29-Jan,Beşiktaş,2+1,Park Bahçesi,2,1,18470343,208.10272
Plot Area,12-May,Beşiktaş,5+1,Park Bahçesi,3,0,11593212,143.99965
Plot Area,26-Feb,Bahçelievler,3+1,Bosphorus View,1,0,12137994,209.96078
Built-up Area,28-Jul,Maltepe,4+1,Denizpark Konakları,1,0,6530502,81.75464
Built-up Area,26-Feb,Ataşehir,3+1,Yakamoz Sitesi,2,0,10835031,132.85129
Plot Area,01-Dec,Ataşehir,5+1,Park Bahçesi,3,2,6535963,118.91584
Built-up Area,26-Apr,Kadıköy,3+1,Bosphorus View,3,2,22055477,196.02533
Plot Area,18-May,Kadıköy,3+1,Denizpark Konakları,4,2,9969944,110.55457
Super built-up Area,27-Apr,Beşiktaş,4+1,Kule Evleri,3,0,8927565,96.61912000000001
Plot Area,24-Nov,Ataşehir,1+1,Kule Evleri,1,2,8953008,108.69651
Plot Area,19-Jul,Şişli,4+1,Mavi Apartman,1,1,13070444,144.92868
Super built-up Area,25-Jul,Beşiktaş,3+1,Yakamoz Sitesi,4,0,8221645,103.12233
Super built-up Area,02-Jun,Beşiktaş,2+1,Mavi Apartman,3,0,13176156,139.3545
Super built-up Area,03-Mar,Bahçelievler,3+1,Yakamoz Sitesi,1,1,17188134,209.96078
Plot Area,12-Jul,Ataşehir,1+1,Denizpark Konakları,1,2,10746011,163.50928
Plot Area,12-Sep,Bahçelievler,5+1,Panorama Evleri,3,1,5954872,74.3224
Super built-up Area,09-Nov,Ataşehir,4+1,Park Bahçesi,4,2,13452271,192.30921
Plot Area,27-Jun,Kadıköy,5+1,Bosphorus View,2,2,13266681,125.41905
Built-up Area,30-Dec,Bahçelievler,2+1,Bosphorus View,3,1,14338118,187.66406
Super built-up Area,13-Aug,Bahçelievler,2+1,Yakamoz Sitesi,1,1,13503951,217.39302
Plot Area,30-Mar,Fatih,1+1,Kule Evleri,1,2,10534213,108.69651
Built-up Area,29-Sep,Maltepe,2+1,Bosphorus View,2,1,12700951,178.37376
Super built-up Area,18-Dec,Bahçelievler,2+1,Panorama Evleri,3,1,14615281,231.32847
Built-up Area,16-Feb,Maltepe,4+1,Yakamoz Sitesi,3,2,13064111,186.73503
Plot Area,06-Jul,Maltepe,4+1,Yakamoz Sitesi,3,0,12790595,158.86413000000002
Built-up Area,17-May,Kadıköy,2+1,Mavi Apartman,3,2,11036241,133.78032000000002
Built-up Area,27-Mar,Şişli,4+1,Bosphorus View,1,0,18026066,229.47041000000002
Plot Area,21-Mar,Maltepe,5+1,Bosphorus View,1,2,9449753,128.20614
Built-up Area,28-May,Şişli,5+1,Mavi Apartman,3,2,13849591,208.10272
Built-up Area,24-Feb,Kadıköy,1+1,Denizpark Konakları,1,0,3718811,56.67083
Built-up Area,24-Jan,Fatih,4+1,Kule Evleri,3,2,10422990,119.84487
Plot Area,02-Nov,Ataşehir,2+1,Park Bahçesi,2,0,17491067,213.67690000000002
Super built-up Area,21-Sep,Ataşehir,5+1,Kule Evleri,4,1,5761407,95.69009
Plot Area,22-Jun,Beşiktaş,3+1,Park Bahçesi,2,0,12800881,142.14159
Super built-up Area,19-Jan,Maltepe,3+1,Yakamoz Sitesi,3,1,7245576,127.27711000000001
Plot Area,22-Jul,Şişli,2+1,Park Bahçesi,3,2,23599011,230.39944
Super built-up Area,25-Nov,Fatih,3+1,Panorama Evleri,3,0,15477180,160.72219
Built-up Area,09-Jun,Fatih,3+1,Yakamoz Sitesi,2,0,10758907,116.12875
Super built-up Area,24-Sep,Kadıköy,4+1,Park Bahçesi,3,2,12276656,146.78674
Plot Area,15-Oct,Kadıköy,3+1,Park Bahçesi,1,1,16007192,180.23182
Super built-up Area,26-Aug,Fatih,5+1,Bosphorus View,4,0,17421884,216.46399
Super built-up Area,13-Nov,Kadıköy,1+1,Denizpark Konakları,2,0,12474030,176.5157
Super built-up Area,10-Mar,Maltepe,1+1,Park Bahçesi,1,1,9822134,203.45757
Built-up Area,05-Jul,Maltepe,3+1,Panorama Evleri,2,1,14458066,219.25108
Super built-up Area,05-Jan,Maltepe,3+1,Kule Evleri,1,0,13174351,172.79958
Plot Area,08-Jun,Bahçelievler,5+1,Denizpark Konakları,3,0,11831621,150.50286
Built-up Area,01-Jul,Bahçelievler,5+1,Denizpark Konakları,4,1,4928495,66.89016000000001
Built-up Area,17-Jun,Fatih,4+1,Bosphorus View,3,0,5127578,60.38695
Super built-up Area,04-Jul,Fatih,3+1,Denizpark Konakları,3,2,11517702,135.63838
Plot Area,05-Aug,Maltepe,3+1,Panorama Evleri,4,0,11328588,228.54138
Plot Area,10-Dec,Bahçelievler,2+1,Park Bahçesi,1,2,15720264,231.32847
Super built-up Area,03-Sep,Kadıköy,5+1,Mavi Apartman,3,1,9290214,130.0642
Built-up Area,07-Jun,Kadıköy,5+1,Bosphorus View,2,0,11686940,155.14801
Plot Area,06-Jul,Kadıköy,5+1,Denizpark Konakları,3,2,8117631,91.04494
Super built-up Area,30-Nov,Maltepe,2+1,Bosphorus View,1,2,9533968,143.07062
Super built-up Area,30-Oct,Fatih,2+1,Denizpark Konakları,2,0,19788864,225.75429
Built-up Area,28-Jan,Ataşehir,2+1,Denizpark Konakları,2,1,6661628,87.32882000000001
Super built-up Area,09-Jul,Ataşehir,3+1,Panorama Evleri,4,2,8540234,100.33524
Super built-up Area,14-Jul,Beşiktaş,4+1,Kule Evleri,4,1,12856655,106.83845000000001
Plot Area,04-May,Kadıköy,3+1,Yakamoz Sitesi,1,0,9140880,189.52212
Plot Area,02-Feb,Bahçelievler,5+1,Denizpark Konakları,4,0,9550257,153.28995
Built-up Area,27-Aug,Fatih,5+1,Bosphorus View,1,0,7471938,90.11591
Super built-up Area,26-Mar,Şişli,5+1,Kule Evleri,2,0,8568463,85.47076
Built-up Area,23-May,Maltepe,4+1,Yakamoz Sitesi,3,2,18173538,174.65764000000001
Built-up Area,23-Jul,Fatih,1+1,Park Bahçesi,2,2,8579802,112.41263000000001
Super built-up Area,13-Apr,Kadıköy,4+1,Yakamoz Sitesi,2,0,12460211,163.50928
Built-up Area,28-Feb,Fatih,4+1,Mavi Apartman,2,0,13341054,187.66406
Plot Area,09-Jul,Beşiktaş,2+1,Kule Evleri,1,0,10237962,108.69651
Plot Area,01-Dec,Fatih,1+1,Park Bahçesi,1,2,13596739,196.02533
Built-up Area,28-Aug,Bahçelievler,1+1,Panorama Evleri,2,0,8841443,141.21256
Super built-up Area,27-Nov,Fatih,1+1,Park Bahçesi,2,2,6639212,73.39337
Plot Area,08-May,Fatih,2+1,Yakamoz Sitesi,1,0,8974776,114.27069
Super built-up Area,24-Sep,Şişli,5+1,Park Bahçesi,1,2,6724862,78.96755
Plot Area,27-Jul,Bahçelievler,5+1,Denizpark Konakları,3,2,13136773,220.18011
Plot Area,13-Sep,Beşiktaş,5+1,Panorama Evleri,1,1,10475377,106.83845000000001
Super built-up Area,08-May,Beşiktaş,5+1,Panorama Evleri,2,1,20625774,228.54138
Plot Area,12-May,Kadıköy,2+1,Denizpark Konakları,3,1,9169812,176.5157
Super built-up Area,20-Jun,Beşiktaş,3+1,Park Bahçesi,3,2,15233422,109.62554
Built-up Area,20-Jun,Kadıköy,1+1,Mavi Apartman,1,2,17244871,225.75429
Plot Area,24-Aug,Bahçelievler,4+1,Panorama Evleri,1,1,9124195,183.94794000000002
Super built-up Area,17-Oct,Maltepe,1+1,Denizpark Konakları,1,2,6276159,108.69651
Super built-up Area,21-Jan,Beşiktaş,2+1,Bosphorus View,2,2,11487742,125.41905
Super built-up Area,03-May,Kadıköy,3+1,Bosphorus View,1,0,5177968,70.60628
Plot Area,04-Dec,Fatih,2+1,Park Bahçesi,2,0,17821527,203.45757
Built-up Area,06-Nov,Maltepe,3+1,Panorama Evleri,1,2,5245538,71.53531
Super built-up Area,18-Aug,Bahçelievler,1+1,Panorama Evleri,2,2,11121123,186.73503
Super built-up Area,10-Jul,Fatih,4+1,Park Bahçesi,4,0,20100566,228.54138
Plot Area,14-Aug,Fatih,1+1,Park Bahçesi,1,0,23589696,229.47041000000002
Plot Area,13-Apr,Şişli,5+1,Yakamoz Sitesi,4,2,6797131,90.11591
Built-up Area,12-Mar,Maltepe,5+1,Mavi Apartman,2,2,7880397,82.68367
Plot Area,30-Oct,Ataşehir,4+1,Denizpark Konakları,3,2,12683795,178.37376
Built-up Area,17-May,Ataşehir,3+1,Park Bahçesi,2,1,18557896,229.47041000000002
Plot Area,25-Nov,Ataşehir,5+1,Denizpark Konakları,4,2,11437713,170.94152
Built-up Area,16-May,Şişli,3+1,Denizpark Konakları,1,1,9024337,90.11591
Plot Area,03-Aug,Maltepe,4+1,Bosphorus View,4,2,15531167,208.10272
Super built-up Area,26-Aug,Ataşehir,4+1,Bosphorus View,2,2,18463125,222.9672
Built-up Area,14-Sep,Kadıköy,1+1,Yakamoz Sitesi,2,0,10471714,200.67048
Plot Area,09-Feb,Fatih,3+1,Kule Evleri,1,0,7910397,80.82561
Plot Area,19-Jul,Beşiktaş,2+1,Mavi Apartman,2,0,9840165,117.98681
Super built-up Area,22-Jul,Şişli,3+1,Park Bahçesi,4,0,8777738,94.76106
Super built-up Area,21-Jul,Kadıköy,5+1,Denizpark Konakları,2,1,9377429,108.69651
Super built-up Area,04-Oct,Maltepe,4+1,Denizpark Konakları,1,2,5532693,61.31598
Super built-up Area,08-May,Beşiktaş,1+1,Yakamoz Sitesi,2,0,12490300,146.78674
Built-up Area,30-Aug,Fatih,3+1,Panorama Evleri,3,2,13650027,141.21256
Built-up Area,23-Jun,Beşiktaş,4+1,Bosphorus View,1,0,16411350,188.59309000000002
Built-up Area,18-Jun,Kadıköy,2+1,Yakamoz Sitesi,3,0,14581165,157.00607
Built-up Area,20-May,Fatih,2+1,Kule Evleri,3,1,6750947,69.67725
Super built-up Area,16-Oct,Ataşehir,4+1,Mavi Apartman,3,0,9794446,153.28995
Super built-up Area,02-Apr,Bahçelievler,5+1,Kule Evleri,2,1,4924208,68.74822
Super built-up Area,03-Aug,Kadıköy,3+1,Bosphorus View,2,2,23279138,209.03175000000002
Plot Area,18-Oct,Kadıköy,3+1,Park Bahçesi,1,1,16836644,220.18011
Built-up Area,22-May,Maltepe,5+1,Bosphorus View,3,2,4320518,55.7418
Super built-up Area,04-Oct,Bahçelievler,3+1,Kule Evleri,4,1,8815764,147.71577
Built-up Area,24-Dec,Maltepe,5+1,Yakamoz Sitesi,2,2,9028864,132.85129
Plot Area,05-Nov,Kadıköy,3+1,Mavi Apartman,4,0,10102064,125.41905
Plot Area,22-Feb,Fatih,4+1,Park Bahçesi,1,2,20744759,222.9672
Super built-up Area,03-Mar,Fatih,3+1,Panorama Evleri,4,0,17582664,217.39302
Super built-up Area,03-Mar,Şişli,5+1,Panorama Evleri,1,2,12380805,184.87697
Built-up Area,05-Jan,Fatih,3+1,Kule Evleri,2,0,18559994,221.10914
Built-up Area,07-Sep,Şişli,2+1,Park Bahçesi,1,0,5042798,60.38695
Built-up Area,20-Apr,Ataşehir,3+1,Park Bahçesi,4,1,9438359,128.20614
Plot Area,17-Mar,Maltepe,3+1,Denizpark Konakları,4,0,12391847,215.53496
Super built-up Area,12-Jan,Bahçelievler,1+1,Park Bahçesi,2,1,8983285,115.19972
Plot Area,15-Jan,Fatih,4+1,Park Bahçesi,2,2,17407298,186.73503
Plot Area,14-Nov,Şişli,1+1,Bosphorus View,1,0,19447117,211.81884
Plot Area,19-Aug,Bahçelievler,4+1,Yakamoz Sitesi,2,2,7718297,112.41263000000001
Built-up Area,13-Feb,Bahçelievler,1+1,Kule Evleri,1,2,11847430,170.01249
Plot Area,12-Jun,Kadıköy,1+1,Mavi Apartman,2,0,12419064,161.65122
Super built-up Area,13-Aug,Şişli,5+1,Bosphorus View,4,2,24837642,224.82526000000001
Plot Area,28-Feb,Maltepe,3+1,Panorama Evleri,1,0,4880739,60.38695
Super built-up Area,10-Apr,Kadıköy,3+1,Bosphorus View,2,1,13109724,171.87055
Super built-up Area,18-Sep,Fatih,2+1,Denizpark Konakları,3,1,12826221,163.50928
Built-up Area,13-Aug,Şişli,2+1,Bosphorus View,3,1,12153233,112.41263000000001
Built-up Area,23-Feb,Ataşehir,1+1,Yakamoz Sitesi,1,1,11855453,142.14159
Plot Area,28-May,Şişli,1+1,Mavi Apartman,1,1,14189943,180.23182
Built-up Area,13-Aug,Beşiktaş,5+1,Yakamoz Sitesi,4,2,11771508,94.76106
Plot Area,10-Sep,Kadıköy,5+1,Panorama Evleri,1,2,16228354,222.9672
Plot Area,22-Feb,Maltepe,2+1,Panorama Evleri,2,2,9315560,181.16085
Super built-up Area,11-Dec,Ataşehir,4+1,Park Bahçesi,2,0,8169324,122.63196
Built-up Area,18-Mar,Fatih,3+1,Park Bahçesi,4,1,14627051,160.72219
Super built-up Area,05-Feb,Bahçelievler,5+1,Park Bahçesi,4,2,13630495,202.52854
Super built-up Area,12-Oct,Kadıköy,1+1,Park Bahçesi,1,2,17723268,198.81242
Built-up Area,17-Dec,Şişli,5+1,Yakamoz Sitesi,4,0,13961287,143.07062
Built-up Area,16-Feb,Beşiktaş,1+1,Mavi Apartman,2,1,12728081,160.72219
Plot Area,24-Mar,Maltepe,2+1,Yakamoz Sitesi,3,0,10399565,168.15443
Plot Area,26-Aug,Bahçelievler,1+1,Yakamoz Sitesi,1,1,12790357,199.74145000000001
Plot Area,21-May,Bahçelievler,1+1,Bosphorus View,1,1,10184823,165.36734
Plot Area,14-Mar,Bahçelievler,1+1,Bosphorus View,1,0,7450260,126.34808000000001
Plot Area,12-Feb,Fatih,3+1,Mavi Apartman,4,1,15704308,227.61235
Super built-up Area,03-Jan,Bahçelievler,1+1,Bosphorus View,2,0,16746190,222.03817
Built-up Area,09-May,Beşiktaş,2+1,Bosphorus View,3,1,23766218,220.18011
Built-up Area,25-Aug,Ataşehir,2+1,Park Bahçesi,3,0,21481207,228.54138
Plot Area,27-Mar,Kadıköy,2+1,Denizpark Konakları,1,0,13875540,196.95436
Built-up Area,20-Jul,Bahçelievler,2+1,Denizpark Konakları,3,0,14673453,222.9672
Plot Area,23-May,Kadıköy,1+1,Yakamoz Sitesi,2,2,13407394,174.65764000000001
Plot Area,18-Jul,Fatih,5+1,Mavi Apartman,2,1,10995905,99.40621
Plot Area,04-Feb,Ataşehir,4+1,Bosphorus View,1,1,11382904,167.2254
Plot Area,29-Apr,Şişli,5+1,Bosphorus View,3,0,5798666,72.46434
Super built-up Area,07-Jun,Kadıköy,5+1,Yakamoz Sitesi,3,1,12133261,137.49644
Super built-up Area,26-Apr,Bahçelievler,1+1,Denizpark Konakları,1,0,11431233,170.94152
Built-up Area,11-Mar,Beşiktaş,4+1,Yakamoz Sitesi,3,1,10273971,130.99323
Super built-up Area,12-Jul,Şişli,2+1,Denizpark Konakları,3,0,5945623,86.39979
Plot Area,30-Sep,Ataşehir,3+1,Bosphorus View,4,1,12810785,213.67690000000002
Plot Area,04-Dec,Şişli,2+1,Park Bahçesi,3,2,9754621,134.70935
Super built-up Area,03-Feb,Maltepe,3+1,Denizpark Konakları,2,2,4381379,81.75464
Plot Area,29-Sep,Fatih,2+1,Panorama Evleri,3,0,5726449,59.45792
Built-up Area,04-Jun,Maltepe,1+1,Kule Evleri,2,0,8521943,126.34808000000001
Super built-up Area,10-Feb,Şişli,2+1,Panorama Evleri,2,0,6463884,120.7739
Built-up Area,17-Sep,Şişli,2+1,Panorama Evleri,2,0,14901250,205.31563
Built-up Area,27-Feb,Şişli,1+1,Panorama Evleri,2,1,5923337,84.54173
Plot Area,14-Oct,Fatih,3+1,Yakamoz Sitesi,4,2,9818243,105.90942
Super built-up Area,21-Jul,Bahçelievler,1+1,Kule Evleri,1,2,12812869,202.52854
Super built-up Area,25-Apr,Beşiktaş,3+1,Kule Evleri,1,1,18940909,222.9672
Built-up Area,17-Jun,Maltepe,4+1,Kule Evleri,4,1,8027915,97.54815
Super built-up Area,04-Jan,Fatih,4+1,Denizpark Konakları,1,1,5739946,61.31598
Super built-up Area,01-May,Beşiktaş,2+1,Denizpark Konakları,3,0,11193997,179.30279000000002
Super built-up Area,11-May,Ataşehir,1+1,Kule Evleri,1,0,5993253,126.34808000000001
Built-up Area,25-Apr,Bahçelievler,2+1,Panorama Evleri,3,0,13569431,210.88981
Super built-up Area,12-Jan,Şişli,2+1,Denizpark Konakları,1,2,21266948,213.67690000000002
Plot Area,09-Nov,Beşiktaş,2+1,Bosphorus View,1,0,8127818,80.82561
Plot Area,12-Aug,Şişli,3+1,Denizpark Konakları,1,2,15855814,202.52854
Built-up Area,26-Apr,Beşiktaş,1+1,Kule Evleri,2,1,7253953,79.89658
Super built-up Area,24-Mar,Ataşehir,3+1,Denizpark Konakları,3,2,8106544,117.05778000000001
Super built-up Area,03-Aug,Bahçelievler,4+1,Yakamoz Sitesi,3,0,5652217,73.39337
Plot Area,09-Mar,Ataşehir,2+1,Mavi Apartman,1,0,7663790,117.98681
Plot Area,17-Sep,Şişli,3+1,Park Bahçesi,4,0,19595959,212.74787
Built-up Area,27-Sep,Şişli,5+1,Yakamoz Sitesi,3,1,6525630,65.96113
Built-up Area,20-Jun,Beşiktaş,4+1,Panorama Evleri,2,1,12026392,144.92868
Plot Area,04-Apr,Beşiktaş,4+1,Bosphorus View,4,2,13018230,166.29637
Super built-up Area,20-Mar,Maltepe,5+1,Kule Evleri,3,2,5206919,69.67725
Super built-up Area,12-Jun,Kadıköy,4+1,Mavi Apartman,1,1,7688766,124.49002
Plot Area,09-Mar,Şişli,2+1,Yakamoz Sitesi,2,0,14613085,157.9351
Super built-up Area,02-Oct,Şişli,1+1,Bosphorus View,1,0,11313025,187.66406
Plot Area,29-Feb,Bahçelievler,1+1,Yakamoz Sitesi,2,2,4430837,74.3224
Plot Area,18-Dec,Şişli,1+1,Bosphorus View,1,1,8570017,99.40621
Built-up Area,09-Mar,Şişli,2+1,Denizpark Konakları,2,2,20515607,228.54138
Plot Area,29-Jun,Maltepe,3+1,Denizpark Konakları,1,1,14908289,191.38018
Plot Area,03-Nov,Beşiktaş,3+1,Panorama Evleri,1,0,18660148,172.79958
Super built-up Area,07-Aug,Beşiktaş,5+1,Kule Evleri,1,1,13580531,180.23182
Super built-up Area,25-Oct,Beşiktaş,3+1,Park Bahçesi,3,0,15416019,155.14801
Plot Area,23-Jul,Fatih,2+1,Yakamoz Sitesi,2,0,12285993,191.38018
Built-up Area,02-Nov,Beşiktaş,1+1,Park Bahçesi,2,1,19415662,222.03817
Super built-up Area,18-Dec,Şişli,5+1,Denizpark Konakları,1,0,8310905,98.47718
Plot Area,23-Aug,Fatih,5+1,Yakamoz Sitesi,4,0,12712519,187.66406
Plot Area,13-Apr,Beşiktaş,1+1,Mavi Apartman,1,2,12001723,122.63196
Built-up Area,24-Aug,Kadıköy,2+1,Mavi Apartman,2,1,8009241,79.89658
Super built-up Area,15-Jul,Kadıköy,4+1,Mavi Apartman,1,1,10447285,132.85129
Super built-up Area,10-Jun,Fatih,3+1,Kule Evleri,1,0,10164690,113.34166
Plot Area,14-Dec,Ataşehir,3+1,Bosphorus View,2,2,8135175,115.19972
Built-up Area,07-Feb,Kadıköy,5+1,Panorama Evleri,1,0,8293246,91.97397000000001
Super built-up Area,26-Jun,Maltepe,4+1,Bosphorus View,1,1,8335066,143.99965
Super built-up Area,07-Feb,Ataşehir,3+1,Kule Evleri,3,1,14281288,157.9351
Built-up Area,21-Dec,Beşiktaş,4+1,Kule Evleri,1,1,13926070,192.30921
Plot Area,04-Oct,Fatih,5+1,Panorama Evleri,2,2,13220373,162.58025
Built-up Area,05-Jul,Maltepe,2+1,Kule Evleri,1,1,7281631,111.4836
Built-up Area,11-Aug,Bahçelievler,3+1,Kule Evleri,2,1,6316806,88.25785
Plot Area,05-Nov,Bahçelievler,4+1,Park Bahçesi,2,0,9464920,145.85771
Plot Area,30-Apr,Kadıköy,5+1,Yakamoz Sitesi,2,0,9456545,134.70935
Built-up Area,07-Sep,Ataşehir,5+1,Bosphorus View,2,0,6137479,74.3224
Built-up Area,13-Nov,Bahçelievler,3+1,Denizpark Konakları,1,1,4331872,64.10307
Plot Area,19-Aug,Kadıköy,4+1,Mavi Apartman,4,2,17478515,182.08988
Built-up Area,02-Jul,Şişli,2+1,Park Bahçesi,1,0,7098706,73.39337
Plot Area,14-Aug,Fatih,2+1,Mavi Apartman,3,0,18408762,182.08988
Super built-up Area,28-Mar,Kadıköy,4+1,Denizpark Konakları,3,1,11700522,194.16727
Built-up Area,27-Sep,Bahçelievler,5+1,Panorama Evleri,2,1,15083645,200.67048
Built-up Area,08-Feb,Şişli,3+1,Bosphorus View,2,0,14304854,167.2254
Super built-up Area,14-Mar,Maltepe,4+1,Panorama Evleri,1,0,5687834,71.53531
Plot Area,05-Oct,Kadıköy,5+1,Panorama Evleri,1,1,12929166,153.28995
Super built-up Area,01-Feb,Kadıköy,2+1,Yakamoz Sitesi,1,2,10554020,193.23824000000002
Plot Area,21-Jul,Bahçelievler,2+1,Park Bahçesi,2,1,7843709,125.41905
Built-up Area,07-Nov,Ataşehir,4+1,Panorama Evleri,4,1,10265207,154.21898000000002
Super built-up Area,22-Jun,Beşiktaş,3+1,Yakamoz Sitesi,1,1,17582642,176.5157
Super built-up Area,23-Apr,Kadıköy,2+1,Mavi Apartman,1,2,10957774,176.5157
Built-up Area,18-Feb,Kadıköy,5+1,Denizpark Konakları,4,2,16856867,184.87697
Built-up Area,31-Dec,Ataşehir,4+1,Mavi Apartman,1,1,13267669,169.08346
Built-up Area,17-Jan,Beşiktaş,4+1,Park Bahçesi,2,2,8135107,156.07704
Plot Area,25-Jun,Bahçelievler,2+1,Park Bahçesi,2,1,12918730,170.94152
Super built-up Area,08-Jan,Ataşehir,5+1,Park Bahçesi,1,1,12665075,130.0642
Plot Area,22-Feb,Ataşehir,2+1,Bosphorus View,3,1,4654909,91.97397000000001
Plot Area,11-Oct,Kadıköy,1+1,Kule Evleri,2,0,11756329,175.58667
Plot Area,21-Mar,Fatih,3+1,Bosphorus View,1,0,18079480,191.38018
Built-up Area,22-Jul,Maltepe,4+1,Yakamoz Sitesi,1,0,8032710,110.55457
Built-up Area,22-Jan,Ataşehir,4+1,Mavi Apartman,4,0,10974477,130.0642
Built-up Area,05-Feb,Kadıköy,3+1,Yakamoz Sitesi,2,1,10000203,134.70935
Super built-up Area,07-Jul,Şişli,4+1,Mavi Apartman,4,1,13940202,151.43189
